Restaurant,ID,Rating,Reviews,Price,City,State,ZipCode,Category
Roam Artisan Burgers,6wUNarxe7sJTriiqLjZHAA,4.0,1482,2,San Francisco,CA,94123,Burgers
Home Plate,kesgk8dCRyg3qRDYpuAKGg,4.0,912,2,San Francisco,CA,94123,Breakfast & Brunch
The Italian Homemade Company,FRpULkKmvD9caSKabQzq5w,4.5,694,2,San Francisco,CA,94123,Italian
Delarosa,QQkroHtwS96-dzMpT4a-DA,4.0,1369,2,San Francisco,CA,94123,Italian
Alegrias,tkLC24zVhWLCCFQp3NCKMw,4.0,728,2,San Francisco,CA,94123,Spanish
Rooster & Rice,-Wei8JiA-RBzuSnO_9X0FQ,4.5,383,2,San Francisco,CA,94123,Chicken Shop
Ace Wasabi  Rock-N-Roll Sushi,NMTWmJKWxJD1flwkn7JIPA,4.0,745,2,San Francisco,CA,94123,Sushi Bars
Castagna,Ffb9HJIrt4YPFCQIpBg6gw,4.5,345,2,San Francisco,CA,94123,Italian
Bistro Aix,j1yOqKczaI4czwycWDcspw,4.0,614,2,San Francisco,CA,94123,French
Brazen Head,0PLv5h5eRTG6fuWLpUmf4A,4.0,648,2,San Francisco,CA,94123,Steakhouses
Tacolicious,hcGIDuoE0Hn3-XKuICP0mg,3.5,1504,2,San Francisco,CA,94123,Mexican
Palm House,9nltvO9__dkyRIT17D5TqQ,4.0,643,2,San Francisco,CA,94123,Caribbean
Blue Barn Gourmet,9Tg6-QXCbL6LribaO5S4Lw,4.0,825,2,San Francisco,CA,94123,Sandwiches
Super Duper Burgers,CR5_3AHC-CqySDwOrynxWA,4.0,774,2,San Francisco,CA,94123,Burgers
Chubby Noodle,-D2haB9KuDk9a9OWKFjM0A,4.0,551,2,San Francisco,CA,94123,Noodles
Tacko,uUWH7T9V0kyu-3nig_gatQ,4.0,670,2,San Francisco,CA,94123,Mexican
Patxi's Pizza,mMbfBqC3RHiGWGZoY0eWCg,3.5,851,2,San Francisco,CA,94123,Pizza
Rose's Cafe,KewsTgYKXUPuUU_X1I3O6w,3.5,894,2,San Francisco,CA,94123,Italian
La Mediterranee,iZ5VBmyFAZyJCt88KLwhJw,4.0,1408,2,San Francisco,CA,94115,Middle Eastern
Kara's Cupcakes,LD-AEBPmSwaQ1eWf9ZKLcQ,4.0,1217,2,San Francisco,CA,94123,Bakeries
Nectar Wine Lounge,wr8AESmBkc7-nuQbg191QA,4.0,477,2,San Francisco,CA,94123,Wine Bars
Causwells,DL-2iaugPoULjvZ6pyNRAQ,4.0,624,2,San Francisco,CA,94123,American (New)
Ly's Vietnamese Cuisine,t6TROjhvQzXJEhjI_nm08g,4.5,358,2,San Francisco,CA,94123,Vietnamese
The Plant Café Organic,rR_7mgpw0FmPgrTMJRsmuQ,3.5,928,2,San Francisco,CA,94123,Vegetarian
Leopold's,sQavxElZ71EGMrQ1zktn8Q,4.5,983,2,San Francisco,CA,94109,German
The Tipsy Pig,lbH9iQJM4wwgPQI2RL1oPg,3.5,1453,2,San Francisco,CA,94123,Gastropubs
The Dorian,dglMkHYfCycYX3MX92oFxg,4.0,404,2,San Francisco,CA,94123,American (Traditional)
Salt & Straw,_5Dzuo9r5vaXsqy8P9AlOQ,4.5,755,2,San Francisco,CA,94115,Ice Cream & Frozen Yogurt
Ristorante Parma,mf8cgiuuHtO8aDQf1QUXWg,4.0,365,2,San Francisco,CA,94123,Italian
The Original Ghirardelli Ice Cream & Chocolate Shop,vzBSlQezq2GJkDeqBQxdtw,4.0,2296,2,San Francisco,CA,94109,Ice Cream & Frozen Yogurt
Flores,tKmqlKWOMMiU8pn0gLliXA,4.0,329,2,San Francisco,CA,94123,Mexican
MAC'D,jvYlBwqNkkD32Q-4VPLK9Q,4.0,530,2,San Francisco,CA,94123,Comfort Food
Marengo,jdxZe4JJJRcoeGnG2wtB5g,4.0,307,2,San Francisco,CA,94123,American (Traditional)
Helmand Palace,ODed3UyqDFIFs3gDcXhm7A,4.5,761,2,San Francisco,CA,94109,Afghan
Wrecking Ball Coffee Roasters,jdtLZsekui2VR9Xk_0aK1w,4.5,215,2,San Francisco,CA,94123,Coffee Roasteries
Roma Antica,B09WOy0W83Od-Xw4xEXxog,4.5,248,2,San Francisco,CA,94123,Italian
Pizzeria Delfina,wPJjpOZ0mnsajJLBkWUnwA,4.0,1418,2,San Francisco,CA,94115,Pizza
Nabe,8iU_Gr2XdRt9D67g8B6pLA,4.5,143,2,San Francisco,CA,94123,Hot Pot
Yukol Place Thai Cuisine,Nsi7vy0kCVwlmvn4fgAIOA,4.0,365,2,San Francisco,CA,94123,Thai
The Brixton,hg0cuVFIqz2C4w6RsAuohA,3.5,782,2,San Francisco,CA,94123,American (New)
Viva Goa,SAxC2Qim3Zd_GmTRKJOqiQ,4.0,399,2,San Francisco,CA,94123,Indian
Vegan Picnic,qr9Tgbs4g7sf5azGc0wMuA,4.5,218,2,San Francisco,CA,94123,Vegan
Balboa Cafe,7ZCuoFL4bmDY0Eh3bIZ2Jw,3.5,568,2,San Francisco,CA,94123,Bars
Jane on Fillmore,Xc_ZRIqAbNfUb2m54xnRoA,4.0,883,2,San Francisco,CA,94115,Coffee & Tea
Squat & Gobble,C-FmlwtyYfNJ_47T0xyS1g,3.5,837,2,San Francisco,CA,94123,Creperies
Lite Bite,3hInKoS_u0FPJMIpbITsHw,4.5,258,2,San Francisco,CA,94123,American (New)
Isa Restaurant,QINiEjMRGA7pKfvhPQtfBg,4.0,1936,3,San Francisco,CA,94123,French
House of Prime Rib,oT08T3Vpn1I7jDmrBBRMTw,4.0,6538,3,San Francisco,CA,94109,American (Traditional)
Zushi Puzzle,u2qFhVAiH3kQIGhEW6PmMA,4.0,1302,3,San Francisco,CA,94123,Sushi Bars
Terzo,mpuhp2b83qNAKcE19-dSjQ,4.0,588,3,San Francisco,CA,94123,Mediterranean
Capannina,HWWXRD3KWJRB-WBuXX9RKQ,4.0,783,3,San Francisco,CA,94123,Italian
Bobo's,yNU6sPRWzVl0ngCRqat1TQ,4.0,1937,3,San Francisco,CA,94123,Steakhouses
Izzy's San Francisco,ClL-QEflsWyrUA9ybj5vSg,3.5,956,3,San Francisco,CA,94123,Steakhouses
A16,e3WDNQMYpLdMEmM2UV13rA,3.5,1899,3,San Francisco,CA,94123,Italian
The MINA Test Kitchen,RNa3UQZiYV6B25J6J5bpSA,4.0,247,3,San Francisco,CA,94123,Pop-Up Restaurants
Ruth's Chris Steak House,Kxwc8PIKy2JsegNwgBjAtA,4.0,1947,3,San Francisco,CA,94109,Steakhouses
Maybeck's,bvqcwnYisSiyvaRvobBJLA,4.0,254,3,San Francisco,CA,94123,American (New)
Cafe Boho,DP2HJpQ0lOrrY8efqB69aA,4.5,67,3,San Francisco,CA,94123,American (New)
Rapha - San Francisco,K8EcFpeCVOOJNYlWE6gMcQ,4.0,98,3,San Francisco,CA,94123,Sports Wear
Matterhorn Restaurant,av8vitp4twNYvUi4Ox0pGw,3.5,333,3,San Francisco,CA,94109,Fondue
McCormick & Kuleto's Seafood & Steaks,afBjDUDJ29UEz96uZD27mA,3.0,1113,3,San Francisco,CA,94109,Seafood
Chotto,W3Ap2qzSXJ9S0S_Mrjv2CA,4.0,589,3,San Francisco,CA,94123,Japanese
Parigo,jRo4f2JpghFZE46SDU4jfQ,4.5,40,3,San Francisco,CA,94123,Wine Bars
Bobo's Burger Bar,4QkR4-SkwuhocxGCn0bs5A,4.0,93,3,San Francisco,CA,94123,Burgers
Greens Restaurant,XgYC_Yj1OjghUZu15yOeaQ,4.0,1912,3,San Francisco,CA,94123,Vegetarian
Del Mar,3n0-csvHD2pubPooUrHqUw,4.0,30,3,San Francisco,CA,94123,Dance Clubs
Vino Teca,VxAdoIGlwAl1285TcLFxUA,2.5,14,3,San Francisco,CA,94123,Italian
Chez boudin,vowG_LE2OmsO6T5_U4nPNg,3.0,3,3,San Francisco,CA,94109,Bakeries
Gary Danko,WavvLdfdP6g8aZTtbBQHTw,4.5,4944,4,San Francisco,CA,94109,American (New)
Atelier Crenn,c3khi7kxBaA2ATUuMjtMZA,4.5,639,4,San Francisco,CA,94123,French
La Folie,eSixRz7xcwtFdeh9hN5TyQ,4.5,1417,4,San Francisco,CA,94109,French
Harris' Restaurant,FqYg7BcsryLFiUTknxpQpw,4.0,1720,4,San Francisco,CA,94109,Steakhouses
Acquerello,mDM7-ho67ePJXd5TodtCOg,4.5,1029,4,San Francisco,CA,94109,Italian
Spruce,ZfMLpV7p3EvRv3Idpx89sQ,4.0,1782,4,San Francisco,CA,94118,American (Traditional)
Kiss Seafood,USbpXRK2pFey0V24QcgXsQ,4.0,525,4,San Francisco,CA,94115,Japanese
The Progress,CS0pUlk25RV2-vhKFFbxqA,4.0,727,4,San Francisco,CA,94115,American (New)
Hinata,yD9-WrXijc_grVmi_zkCfQ,4.5,326,4,San Francisco,CA,94109,Sushi Bars
Keiko à Nob Hill,6ZNlnA733Rv0I9Mq5_yO0A,4.5,373,4,San Francisco,CA,94109,Japanese
Farallon,4raSXRuvBH1CHawSsuJiBA,4.0,1511,4,San Francisco,CA,94102,Seafood
Sons & Daughters,GoIbbBYDyr8W46YmxJct-g,4.0,624,4,San Francisco,CA,94108,American (New)
Osso Steakhouse,9-TPmOn6AbW2fLMiugQCiA,4.0,649,4,San Francisco,CA,94108,Steakhouses
Bar Crenn,1P8K-4e333xzfb8rBEkUog,4.0,42,4,San Francisco,CA,94123,Wine Bars
OzaOza,Y96P7pYNYya_bP-Ogun-0w,4.5,81,4,San Francisco,CA,94115,Japanese
An Japanese Restaurant,zWpV3kVw1CO9Fb3JroQpqw,4.5,116,4,San Francisco,CA,94115,Sushi Bars
Robin,_CY0LgS5OOBhImGNeWwHWg,4.0,231,4,San Francisco,CA,94102,Sushi Bars
Kinjo,OlgHnpdim58vWkjuh3rVcw,4.0,76,4,San Francisco,CA,94109,Japanese
Birdsong,XVPiXV_TPivnr9szB5kc-A,4.5,77,4,San Francisco,CA,94103,American (New)
RTB Fillmore,Tf6Yv0vD8OMiXI1v9jdQsg,4.0,51,4,San Francisco,CA,94115,American (New)
AVERY,auXdl2WBTohNUH2_37Jyag,4.0,39,4,San Francisco,CA,94115,American (New)
Starbucks,0JALmnz7zGgUPE7gU5JXhA,3.5,11,4,San Francisco,CA,94115,Coffee & Tea
Club Mari's,xXqkC4OEiCcwvketTvFULQ,2.5,16,4,San Francisco,CA,94115,Bars
Benkyodo Co,0100LAmvjZPFjEPswwrDBQ,4.5,889,1,San Francisco,CA,94115,Bakeries
Sophie's Crepes,cegatrLOnlyeSgDpYOua2g,4.0,1631,1,San Francisco,CA,94115,Desserts
Belly Good Cafe & Crepes,V6L23CJAM9cm0zzWAhSwVA,4.5,1220,1,San Francisco,CA,94115,Ice Cream & Frozen Yogurt
"La Boulangerie de San Francisco, Pine",tQE4SPlX9ZlFSbF4JPU4pg,4.5,724,1,San Francisco,CA,94115,Bakeries
The Cheese Steak Shop,RJjuozKTsgwPNa429tnxbg,4.0,847,1,San Francisco,CA,94115,Sandwiches
Miyako Old Fashioned Ice Cream,L3_71hwGHkr38nZ2daksuA,4.5,305,1,San Francisco,CA,94118,Ice Cream & Frozen Yogurt
Matcha Cafe Maiko,sSiUcnbwPQ4ssHY3EMV0Fw,4.5,441,1,San Francisco,CA,94115,Coffee & Tea
El Burrito Express,CS6NaMbTlzD-9yc3DBBrKw,4.0,665,1,San Francisco,CA,94115,Mexican
Cafe Murano,Q9KeURmTqRFLKb_3Dxq6Jw,4.0,274,1,San Francisco,CA,94115,Coffee & Tea
Boba Guys,168JCbfPASa30FoHZZaIEg,4.0,445,1,San Francisco,CA,94115,Cafes
Uji Time Dessert,-yFZPqNV3XGwMzfadm9l6A,4.0,582,1,San Francisco,CA,94115,Desserts
Smitten Ice Cream,mMiOVbGovegeBg-6YyqDxA,4.0,2344,1,San Francisco,CA,94102,Ice Cream & Frozen Yogurt
Bun Mee,_KtkAiwyxHbkn9O6yEMvjA,3.5,867,1,San Francisco,CA,94115,Vietnamese
Yum Yum Hunan,BpFYTc8r8S1FHfBoCyxRSg,3.5,470,1,San Francisco,CA,94115,Chinese
Cool Cravings,U1UGWvpNxPAlojTpe1LSvA,4.5,101,1,San Francisco,CA,94115,Cafes
Kissako Tea,KKD4YiUXJ__ihFgUCJdo6Q,4.0,242,1,San Francisco,CA,94115,Coffee & Tea
Tea Hut,AdABvu7gwwRjZKzVLQeDOQ,4.0,138,1,San Francisco,CA,94115,Bubble Tea
The City Taqueria,imfAj62Nm0f7y0Cj_sbjsQ,3.5,295,1,San Francisco,CA,94115,Mexican
Opa,tdE4ppqlvjDQ9_qWoNQ5ZA,4.0,199,1,San Francisco,CA,94115,Sandwiches
Eddie's Cafe,V6JS0EaR0Gq_SSDllaOqKw,4.0,587,1,San Francisco,CA,94117,Soul Food
Bay Subs & Deli,Nty8mxwmbRviQmWUKedhfg,4.5,132,1,San Francisco,CA,94115,Sandwiches
Kung Food,f7plDqr6Dfu-Vbo-0JBmcw,4.0,395,1,San Francisco,CA,94115,Chinese
Aube Creamery,NFqGrGplvgaOgqryMFBpNw,4.0,116,1,San Francisco,CA,94115,Desserts
Andersen Bakery,FTir7qcSlmO3il2rSi0urQ,3.5,237,1,San Francisco,CA,94115,Bakeries
Folklores Coffee Traders,aF682DEnmO6TBQdLb_dHwg,5.0,82,1,San Francisco,CA,94115,Coffee & Tea
Pete's Deli & Cafe,e3d-jYxVx7YLTxQ2CEmb0g,4.0,153,1,San Francisco,CA,94115,Delis
Loving Cup,_HlW-c1QD_CtGRK0cRo5SQ,4.0,397,1,San Francisco,CA,94102,Ice Cream & Frozen Yogurt
Tony's Cable Car Restaurant,LOnMdHbYlpkRy0T2lf28fw,3.5,379,1,San Francisco,CA,94115,Burgers
Ro Cafe,FH3uN3U_N7xbFQRI-DAJFg,4.5,109,1,San Francisco,CA,94118,Cafes
Peet's Coffee,Z5G6Va64QQwYBXNpO74nMw,4.0,155,1,San Francisco,CA,94115,Coffee & Tea
El Rancho Grande,VKPA24jl5g19ESyA9tN8Vw,4.0,307,1,San Francisco,CA,94117,Mexican
The Fishbowl Bar & Grill,qMoaAv2WUAybwx-bOxCc5w,3.5,258,1,San Francisco,CA,94115,Pubs
Fillmore Street Cafe,LP-1AKyY6tFkUvmd1p11-Q,4.0,147,1,San Francisco,CA,94115,Coffee & Tea
Café Hana,yOxYyv_NKOXcdyfgvpPKSQ,3.5,182,1,San Francisco,CA,94115,Coffee & Tea
MoYo's Froyo,pGtYO6HNIJ3VrBsmRqEgSg,3.5,120,1,San Francisco,CA,94115,Ice Cream & Frozen Yogurt
Cafe La Vie,_DIGnA73a966BV02ekLKhg,4.0,276,1,San Francisco,CA,94102,Coffee & Tea
Boba Guys,g2ckHUzTfnsFR_pW0Ism7g,4.5,55,1,San Francisco,CA,94117,Bubble Tea
Tan Tan Coffee Shop,Dq4nwjdpoA1xqmPguJwf6w,4.0,61,1,San Francisco,CA,94115,Coffee & Tea
Double Decker,2qv3jQh4qTwgvYuTMBUrHw,3.5,402,1,San Francisco,CA,94102,Burgers
Chocolate Chair,dwccEjnsEmuDaAxY3d4JRw,2.5,322,1,San Francisco,CA,94115,Desserts
Starbucks,TTE4bhJAxT7VoItXHxuVRw,3.0,88,1,San Francisco,CA,94115,Coffee & Tea
Starbucks,aI8ZuaVOMPJLHDirI_CrNw,4.0,26,1,San Francisco,CA,94115,Coffee & Tea
New King Lee's Chinese,AbwerL-FpnxEFgCGLHeEQA,3.0,132,1,San Francisco,CA,94115,Chinese
Andy Goldsworthy's Wood Line,xJOwskhsT9QOPIphj_o7lA,4.5,32,1,San Francisco,CA,94129,Hiking
Sunday Bird,1nYJIXhpe2oLQwexFGdxWQ,3.5,51,1,San Francisco,CA,94115,Korean
Ben Wah,zP4uciQqdVGZVf72HttgJA,3.0,82,1,San Francisco,CA,94115,Chinese
Starbucks,zXRXuOL92IweSEymGQ5lbw,3.0,89,1,San Francisco,CA,94115,Coffee & Tea
Buchanan Market & Deli,forDwo-xvl7SlYzu9kL9CQ,4.0,28,1,San Francisco,CA,94115,Grocery
Cumaica,DkwnDuQ295aH-InHJFsVNw,3.0,81,1,San Francisco,CA,94115,Coffee & Tea
Grove Street Market,w8BHtKaXLKXJwn8p0RShGw,4.5,35,1,San Francisco,CA,94102,Grocery
Sweet Maple,-DrR38H1Abk0wCyu9XOLug,4.0,3057,2,San Francisco,CA,94115,American (Traditional)
B Patisserie,2XQm-uFcTS7oc8MFP-8olA,4.5,2120,2,San Francisco,CA,94115,Bakeries
Marufuku Ramen SF,HHtpR0RslupSQ99GIIwW5A,4.5,1511,2,San Francisco,CA,94115,Ramen
Woodhouse Fish Company,PFk6k_hEGG0n6_FAJSm9EQ,4.0,2068,2,San Francisco,CA,94115,Seafood
Little Star Pizza,__I9HmtBMV4dDkEgT22V4g,4.5,2760,2,San Francisco,CA,94117,Pizza
La Mediterranee,iZ5VBmyFAZyJCt88KLwhJw,4.0,1408,2,San Francisco,CA,94115,Middle Eastern
Roam Artisan Burgers,4eaK2-Q0dEXWMr5SOoV_Sg,4.0,1081,2,San Francisco,CA,94115,Burgers
Pizzeria Delfina,wPJjpOZ0mnsajJLBkWUnwA,4.0,1418,2,San Francisco,CA,94115,Pizza
Tataki,r2jiJk3yivcLkWSSYELGcA,4.0,1189,2,San Francisco,CA,94115,Sushi Bars
Salt & Straw,_5Dzuo9r5vaXsqy8P9AlOQ,4.5,755,2,San Francisco,CA,94115,Ice Cream & Frozen Yogurt
Fat Angel,W0mlelgnkSPU3ELhyzkXHA,4.0,803,2,San Francisco,CA,94115,Wine Bars
Jane on Fillmore,Xc_ZRIqAbNfUb2m54xnRoA,4.0,883,2,San Francisco,CA,94115,Coffee & Tea
Yasukochi's Sweet Stop,EfkCyCaKoUFVdkRoi2prMw,4.5,506,2,San Francisco,CA,94115,Bakeries
Fillmore Bakeshop,9OKUEFQiWLntDYhpwCaJcg,4.0,485,2,San Francisco,CA,94115,Desserts
Sift Dessert Bar,R69dsC7QTTf-XwTDJawMHQ,4.0,644,2,San Francisco,CA,94115,Desserts
The Grove Fillmore,ugXtAA14p4EoD42zMaF1Xw,3.5,1463,2,San Francisco,CA,94115,Sandwiches
Hinodeya Ramen Bar,Fe-YjAdSRLqDC2H_pqPcSw,4.0,715,2,San Francisco,CA,94115,Ramen
Suppenküche,DGyoVB9PdI9_jw0CNi_OPg,4.0,3000,2,San Francisco,CA,94102,German
Izakaya KOU,PiY8Ks8KWlIcAvqNdMjvBA,4.0,678,2,San Francisco,CA,94115,Tapas/Small Plates
The Social Study,fQdVnPck_6cOOxO36hweeA,4.0,420,2,San Francisco,CA,94115,Wine Bars
Brenda's Meat & Three,UbKrcsBaZoaBkBOajEX08g,4.0,837,2,San Francisco,CA,94115,Soul Food
The Elite Cafe,NhvqEIpcLbwFhW1cEVSzoA,3.5,1222,2,San Francisco,CA,94115,Cajun/Creole
Sweet Lime Thai Cuisine,Ldq4XfNsXM-ciulyDUlMmw,4.0,429,2,San Francisco,CA,94115,Thai
Jitlada Thai Cuisine,DhxBcPJr1igtHNqDyvJ_lA,4.0,583,2,San Francisco,CA,94115,Thai
Curbside Cafe,eL1aKZx9bplkBesYcGJ11w,3.5,673,2,San Francisco,CA,94115,Breakfast & Brunch
Sheba Piano Lounge,TDG3DA5JtG3fdt4tqYJ94g,4.0,555,2,San Francisco,CA,94115,Ethiopian
Suzu Noodle House,gPUXFQkf4koX8CmWJR7wMg,3.5,1402,2,San Francisco,CA,94115,Noodles
Out The Door,L5IUpy5mivDyUuwgKcLh7g,3.5,649,2,San Francisco,CA,94115,Vietnamese
Crown & Crumpet Tea Stop Cafe,pv5-sxnpf1K0nGfuUWtD1g,4.0,538,2,San Francisco,CA,94115,Tea Rooms
Glaze Teriyaki,rf39v0UmaNk1SZZ9HuZ3hA,4.0,421,2,San Francisco,CA,94115,Japanese
Pa'ina Lounge & Restaurant,_zfxJqH3XZ65X8sNYVKGqg,4.0,467,2,San Francisco,CA,94115,Hawaiian
Playground,OEFXVT17JxEPgHtusrw1Mg,3.5,755,2,San Francisco,CA,94115,Korean
On the Bridge,pLZFRsn8HjVzcITHqa8Yfw,3.5,1022,2,San Francisco,CA,94115,Japanese Curry
Troya,o4x29HYKvEUf7Regrn-J9g,4.0,467,2,San Francisco,CA,94115,Mediterranean
Waraku,IdqBJvRIA0YPwLZaoUNM0w,3.5,762,2,San Francisco,CA,94115,Ramen
YakiniQ Cafe,rCpCBeWQ8NNI_q6kq6JlQQ,4.0,620,2,San Francisco,CA,94115,Bakeries
Philmore Creamery,DicCVq8FwpfT9lD40B_sxg,5.0,98,2,San Francisco,CA,94115,Gelato
Bumblebee Bakeshop,PcQ-jUJPWhld7UjSY9MuEQ,4.5,79,2,San Francisco,CA,94115,Bakeries
Tanpopo,ld0mW_4EUFVK-izi5mD3GA,3.5,1354,2,San Francisco,CA,94115,Ramen
Udon Mugizo,vth2jtXfVUCRJeIP680CyA,3.5,587,2,San Francisco,CA,94115,Japanese
Dino & Santino's,dnwHftnwHH7rbHygjxmqwQ,3.5,610,2,San Francisco,CA,94115,Pizza
Arang Restaurant,_CBWlkmYGYRwQFxpWwxEDg,3.5,584,2,San Francisco,CA,94115,Korean
Royal Indian Cuisine on Fillmore,8-zW9T7u9L-TDVfJyLMOZw,4.5,191,2,San Francisco,CA,94115,Indian
